,tmpf,dwpf,relh,drct,sknt,alti,mslp,vsby,roch_rained_today,roch_rains_tomorrow
0,0.3563027837755512,0.44119762168064325,0.8193225845844139,0.7586360970705687,0.42785523008776744,0.44989654540216634,0.43520544614637163,0.49813081361120914,0,0
1,0.15775357103385443,0.20840740726778664,0.684446385156513,0.862325113798207,0.5437621585972062,0.47828108221367194,0.45344031120836353,0.21439224459358686,0,0
2,0.15357534685999716,0.21585739530434267,0.738447191867758,0.8570750370018709,0.5539294330278589,0.4114939367748382,0.3636437312586106,0.10680364221515756,0,0
3,0.19761382965245264,0.2684455461506204,0.7741730284606245,0.8032617498394256,0.3627846737315913,0.4290255624525319,0.42337304481724125,0.35362455355390715,0,0
4,0.23162457442765075,0.3123566521072624,0.8172843435109702,0.7993241922421735,0.3241490308951117,0.40815457950289025,0.40157225058756624,0.2987754621452961,0,0
5,0.264632545401123,0.3390013152027099,0.7827915169501873,0.8242620570247702,0.4481897789490726,0.44266127131296157,0.4343139638544403,0.6299795910357547,0,0
6,0.32120570071515026,0.41025825959941636,0.8417809815973619,0.7336982322879722,0.30381448203380657,0.478837641758995,0.46802820325796235,0.7375681934141841,0,0
7,0.24324003763097393,0.32129663775112965,0.8021485162803952,0.731073193889804,0.3831192225928963,0.46158429585396055,0.45190047815868395,0.11313238353153576,0,0
8,0.1542438627278143,0.21638327681280542,0.7452979465868338,0.8767628249881314,0.24077738056376077,0.6956175846625364,0.688953723964667,0.5382128419482709,0,0
9,0.1765555798162121,0.22251856107820447,0.67222952045087,0.7008852523108713,0.4685243278103776,0.6855995128467021,0.6715292973498656,0.9021154676400173,0,0
10,0.27156839752972617,0.30893842230225443,0.6266333127338257,0.6969476947136192,0.4319221398600285,0.5893147115057237,0.5780047005429897,0.705924486832293,0,0
11,0.2576131287890429,0.30911371613840866,0.6808668815429643,0.8688877097936273,0.2794130234002405,0.6577715355805314,0.6472161439338631,0.7375681934141841,0,0
12,0.301400918131067,0.35293717517697354,0.6787279865893504,0.48694462286017465,0.2956806624892845,0.6171426887719061,0.6053164762136369,0.8894579850072609,0,0
13,0.39724938067935245,0.3982506318228496,0.4806411504146423,0.5368203524253677,0.23671047079149982,0.5801314790078834,0.5657670799902806,0.9063346285176027,0,0
14,0.4376110261988134,0.48738754750729063,0.6601762183005035,0.7573235778714846,0.429888684973898,0.6101856944553582,0.5918631979901081,0.8219514109658934,0,0
15,0.4244078378094247,0.4726628652703326,0.6585783379528035,0.693010137116367,0.3851526774790268,0.629386998769021,0.6114758084123508,0.8768005023745045,0,0
16,0.4219844677885874,0.5142075044388922,0.8447691436649113,0.20737803345527658,0.11063626785140833,0.4465571881302231,0.4300996839290067,0.5688017583107657,0,0
17,0.40694286076270125,0.5021998766623255,0.8588229416836582,0.644446926750258,0.28144647828637104,0.42596448495325967,0.40967663505956703,0.44961046351897627,0,0
18,0.38078717743435486,0.462057588183,0.7991666450803568,0.6943226563154512,0.20824210238567273,0.45768837903669424,0.44339087446308906,0.6679520389340239,0,0
19,0.3507039633825826,0.39281652290206764,0.6371076071390243,0.7126979251026275,0.2529781098805438,0.546737906288463,0.5324580598103638,0.8346088935986498,0,0
20,0.32939502009591065,0.36959008961162815,0.6374976409246834,0.19162780306626825,0.17570682420758457,0.63383947513162,0.6204716751762697,0.8683621806193336,0,0
21,0.3546314941060084,0.39965298251208375,0.6493307627121776,0.1312519199084029,0.30381448203380657,0.5631564128755129,0.5496393548909957,0.9189921111503591,0,0
22,0.3581412024120486,0.3905377030320622,0.6124851517024197,0.223128263844285,0.16350609489080153,0.6352308739949205,0.620066455952669,0.8810196632520899,0,0
23,0.4878332807685778,0.5004469383007829,0.5325030621722733,0.45413164288307395,0.41158759099872344,0.3781003640554226,0.36177972283005133,0.8430472153538208,0,1
24,0.5254372983332931,0.5970338420217798,0.7396172932247351,0.6050713507777372,0.55799634280012,0.046112595269899095,0.028608477186157107,0.8557046979865771,1,0
25,0.3708430039005747,0.4087682619921051,0.6156494580602667,0.682509983523695,0.6657694517650368,0.2648404965820713,0.2518842693897406,0.7945268652615879,0,0
26,0.3299799714802507,0.3578454025892928,0.5854407122742225,0.7008852523108713,0.5864647112059469,0.509726696524452,0.49663668044411946,0.7196367596844458,0,0
27,0.25410342048300283,0.30341666646339527,0.6758782236070353,0.7953866346449214,0.5620632525723809,0.5353284356093446,0.524353675338363,0.2154470348129832,0,0
28,0.14095710985494828,0.18342803561580465,0.6524510329974501,0.8373872490156106,0.3180486662367202,0.7496038605589227,0.7252613663992221,0.32830958828839435,0,0
29,0.07794948931318084,0.12295166214258514,0.6730032971546774,0.3084420117847468,0.03946534683684058,0.7000700610251187,0.6929248723559465,0.777650221751246,0,0
30,0.19418768582988974,0.23137089980399458,0.6298102008266938,0.6890725795191149,0.48682542178555216,0.5678871690107614,0.5642272469406011,0.7966364457003805,0,0
31,0.2716519620132033,0.2831702283875782,0.5192670769299084,0.7612611354687367,0.4644574180381166,0.6641719703517491,0.6528892130642618,0.8303897327210643,0,0
32,0.27616444412096913,0.32226075384997815,0.6576787438987839,0.4974447764528469,0.19807482795502016,0.620482046043847,0.6100170192073923,0.7375681934141841,0,0
